target_pref_name,canonical_smiles,molecule_chembl_id,standard_value,standard_type,target_organism,Kd_M,pKd
Breast cancer type 1 susceptibility protein,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,CHEMBL1784784,190.0,Kd,Homo sapiens,1.9e-07,6.721246399047171
Breast cancer type 1 susceptibility protein,CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(N)=O)[C@@H](C)O)[C@@H](C)O,CHEMBL1784786,440.0,Kd,Homo sapiens,4.4e-07,6.356547323513812
Breast cancer type 1 susceptibility protein,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O,CHEMBL1784787,410.0,Kd,Homo sapiens,4.1000000000000004e-07,6.3872161432802645
STE20-related kinase adapter protein alpha,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3,CHEMBL3109738,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,CHEMBL2087361,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,CHEMBL1983111,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,CHEMBL603469,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,CHEMBL1289494,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1,CHEMBL270995,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,CHEMBL3218575,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1,CHEMBL3039517,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,CHEMBL1230607,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1,CHEMBL2364611,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,CHEMBL1287853,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL3353410,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,CHEMBL124660,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,CHEMBL494089,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,CHEMBL598797,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,CHEMBL571546,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,CHEMBL3545085,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1,CHEMBL3039525,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,CHEMBL3545157,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
