target_pref_name,canonical_smiles,molecule_chembl_id,standard_value,standard_type,target_organism,Kd_M,pKd,molecule,Morgan_Fingerprint,MACCS_Fingerprint,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,MolMR,BalabanJ,BertzCT,RingCount,HallKierAlpha,FractionCSP3,MolVolume3D,degree_centrality,closeness_centrality,betweenness_centrality,clustering_coefficient,graph_density
Breast cancer type 1 susceptibility protein,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,CHEMBL1784784,190.0,Kd,Homo sapiens,1.9e-07,6.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x00000213792C62D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000213792C61F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F785FC0>,572.5080000000003,-1.7308999999999934,7.0,8.0,231.9,13.0,133.6598,2.1326220919578707,1094.804080491686,2.0,-3.3599999999999994,0.5217391304347826,572.1883445060009,0.0539811066126855,0.1419461710120081,0.1710252762884341,0.0,0.0539811066126855
STE20-related kinase adapter protein alpha,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3,CHEMBL3109738,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C63B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A880>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE2D0>,457.37200000000007,5.139000000000005,1.0,6.0,59.51000000000001,1.0,119.19470000000004,1.817996749567812,1011.5139773014042,4.0,-2.3799999999999994,0.3636363636363636,456.1160881400007,0.0788177339901478,0.2022401704674229,0.1498814085020981,0.0,0.0788177339901477
STE20-related kinase adapter protein alpha,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,CHEMBL2087361,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C6420>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A9D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE340>,391.4270000000003,3.1591000000000014,1.0,7.0,74.73000000000002,2.0,109.82570000000004,1.6740411595146676,1032.2313793343992,4.0,-3.34,0.2727272727272727,391.1532061520005,0.0788177339901478,0.1818800299109836,0.1751505199781061,0.0,0.0788177339901477
STE20-related kinase adapter protein alpha,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,CHEMBL1983111,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C6490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A8F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE3B0>,474.4870000000002,4.057700000000002,3.0,6.0,99.25,6.0,118.2661,1.3589117574356169,1134.1739251619051,5.0,-3.369999999999999,0.4782608695652174,474.1991087000008,0.0677361853832442,0.1554851466053593,0.1781974153297683,0.0,0.0677361853832442
STE20-related kinase adapter protein alpha,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,CHEMBL603469,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C6500>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A730>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE420>,439.4710000000002,3.474400000000002,3.0,6.0,88.65,1.0,124.03880000000004,1.7755712328651565,1730.450548133025,8.0,-3.3899999999999992,0.2692307692307692,439.1532061520006,0.0757575757575757,0.2354461507477615,0.1092986314760508,0.0,0.0757575757575757
STE20-related kinase adapter protein alpha,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,CHEMBL1289494,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C6570>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A6C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE490>,454.8700000000003,5.6381200000000025,2.0,7.0,107.74,6.0,120.25440000000002,1.5322367677934974,1290.797841424342,4.0,-3.98,0.1363636363636363,454.1043973880005,0.0705645161290322,0.1536807821692676,0.1926747311827957,0.0,0.0705645161290322
STE20-related kinase adapter protein alpha,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1,CHEMBL270995,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C65E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A570>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE500>,441.46300000000025,3.4165400000000004,2.0,8.0,116.76000000000002,7.0,115.49010000000004,1.5843642501932913,1296.6969455177225,4.0,-3.66,0.3181818181818182,441.1812324680007,0.0705645161290322,0.1607751660624944,0.1833333333333333,0.0,0.0705645161290322
STE20-related kinase adapter protein alpha,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,CHEMBL3218575,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C6650>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A2D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE570>,448.5330000000001,4.487320000000003,2.0,8.0,109.76,5.0,122.22320000000002,1.574281730202456,1514.546375523411,5.0,-3.629999999999999,0.0476190476190476,448.07761575200055,0.0752688172043011,0.1805239287682017,0.164479050797182,0.0,0.075268817204301
STE20-related kinase adapter protein alpha,Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1,CHEMBL3039517,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C66C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A110>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE5E0>,436.3100000000002,2.86714,3.0,6.0,97.4,5.0,106.39410000000002,1.674384249902349,794.3292588525454,3.0,-2.23,0.3888888888888889,435.0906016640006,0.0826210826210826,0.1785753224160978,0.1938461538461538,0.0,0.0826210826210826
STE20-related kinase adapter protein alpha,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,CHEMBL1230607,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C6730>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A3B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE650>,361.4900000000002,2.313400000000001,2.0,4.0,81.33,4.0,100.46940000000004,1.7487931496322828,686.1016421276182,3.0,-1.89,0.7368421052631579,361.2477752320009,0.0861538461538461,0.1995891002830673,0.1774358974358974,0.0,0.0861538461538461
STE20-related kinase adapter protein alpha,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1,CHEMBL2364611,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C67A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A420>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE6C0>,369.4280000000002,3.513820000000001,1.0,5.0,86.69000000000001,3.0,107.77090000000004,1.8259684891738757,1241.1448909349422,5.0,-3.54,0.1818181818181818,369.1589602280005,0.0846560846560846,0.2137215245474576,0.1486568986568986,0.0,0.0846560846560846
STE20-related kinase adapter protein alpha,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,CHEMBL1287853,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x00000213792C6810>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137B48A500>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002137F7BE730>,524.6910000000001,4.823620000000004,3.0,8.0,108.48000000000002,10.0,147.46189999999984,1.3938414809387556,1300.461915742202,4.0,-3.21,0.4074074074074074,524.256960012001,0.06006006006006,0.1292780253281588,0.2025311025311025,0.0,0.06006006006006
